Cap,NÂº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,189,0,0,0,0,25,1.077726975832789
1,4800,26.0,27,31.5,32,774,1.077726975832789
2,9245,72,72,44.5,49,1571,1.077726975832789
3,3557,27.0,28,13,13,612,1.077726975832789
4,11526,59.0,62,58.5,63,1929,1.077726975832789
5,9442,54.5,58,50.5,55,1648,1.077726975832789
6,7716,45.0,47,44.5,47,1281,1.077726975832789
7,21969,129.5,143,98.5,108,3944,1.077726975832789
8,23949,119.0,123,116.0,125,3991,1.077726975832789
9,23194,163.0,174,146.5,160,3935,1.077726975832789
10,15795,84.0,89,102.0,108,2596,1.077726975832789
11,9624,46.0,51,60.0,68,1738,1.077726975832789
